review,sentiment
"I really wanted to love this film. I have read the book to my daughters and we all loved it. The book is marvelous. This film is very far from the book. The book is splendid - this film is an awful adaptation.<br /><br />In the book, Sara is honorable, kind, strong, and NEVER does anything spiteful to get back at anyone. That's the POINT of the book! She behaves as a ""princes"" regardless of circumstances. An important part of behaving like a princess is to not return unkindness. It is to behave honorably regardless of how you are being treated.<br /><br />In the book, she endures much and touches the lives of others. Other people change their behaviors after they witnessed her kindness and ability to endure without sinking to spite and vengefulness. Sara does what is right simply BECAUSE it is RIGHT.<br /><br />Outside of the bakery, she comes upon a beggar girl who is more poor and hungry than she is. She has half a dozen hot buns. She is VERY hungry. She gives one bun to this wild looking little girl huddled on the doorstep of the bakery. When she sees how ravenous the girl is and watches her gobble the bun, she gives her another. She continues to do this until she has given 3 or 4 I think - I don't remember how many.<br /><br />The baker is watching through the window. She is so moved by what she has witnessed, she takes the beggar girl in and raises her as her own daughter. Other people are similarly influenced by Sara.<br /><br />And in the book, her father has died. The man next door is her father's partner - he has been looking for her. Her father did not lose his money after all - the man is thrilled to find Sara; he takes her and Becky into his home and raises them as his daughters. And Sara has her full inheritance, of course.<br /><br />Miss Minchin is not a chimney sweep. In fact, she remains in her same post at the school. But she is humiliated as Sara has told her new guardian of the cruel treatment she received. And Sara does speak to Miss Minchin in the end - Miss Minchin is trying to minimize her treatment of Sara and Sara with a calm steadfast demeanor, instructs Miss Minchin that she had been cruel.<br /><br />There is no comeuppance for Miss Minchin. She continues on in her miserable existence. It does not matter - what matters is that Sara has a home with a guardian who loves her - and her dearest friend in the world, Becky, is now for all intents and purposes, her sister.<br /><br />The book is about love and honorable behavior under the worst of circumstances. It is about self control and humility. It is a wonderful book. This film does NOTHING to capture the true story and messages of the book. My wife was so disgusted with it, she wanted to leave the theater in the middle, but we decided to stick it out. We were not rewarded.<br /><br />I cannot for the life of me think of a reason the film makes should alter this excellent book in such a bad direction. Perhaps it was the influence of the ghastly screenplay from the book that Shirley Temple acted in. I don't know - but this film is so far from the book in character and values that I do not recognize it.<br /><br />Don't waste your time - buy the book. It is unforgettable... even for a dad!",negative
"My parents may enjoy this show, but I fail to find the humor in it. What is so funny about a dentist husband impregnating his hygienist assistant and the oldest daughter getting impregnated by the captain of the high school football team? Absolutely nothing! It's a shock to me sometimes what people think constitutes humor nowadays. Blame that on shows like ""The Dating Game"" and ""The Newlywed Game"" bringing the issue of sex to the forefront in the mid-1960s. Sure, the series has its touching moments, still that's no excuse for the content that otherwise went into this series. This is nothing like the family-oriented days of ""I Love Lucy"" some five decades before. <br /><br />An answer I would have to why this series plays on the Lifetime cable channel is because that channel's brass think women can relate to Reba's character! I absolutely dislike the character of Reba Hart's daughter, Kyra. She is best described as a ditsy and bitter teenager! Funny, I wonder if the actress who played Kyra; Scarlett Pomers, is like that in real life away from acting. Who plays the blockhead ex-husband dentist, Christopher Rich, is not much better. Barbara Jean, played by Melissa Peterman, is ditsy in herself! The characters of Van and Cheyenne are also very annoying.<br /><br />Something else that baffles me is why the dingbat-of-a-series creator, Allison M. Gibson, decided to set the series in where I live 25 miles away from; Houston, Texas! Reba McEntire isn't even from this state, she's an Oklahoman! Why is it during one season or more they decided to make the incidental music sound like a pig snorting? What I mean by that is where we hear this baritone saxophone being played with drums accompanying it, but the melodies are basically tuneless!",negative
"About the baby: Why wasn't big brother assuming he'd be hungry for a bottle or some nourishment or a diaper change? He should have been screaming non-stop after that many hours without care. Definitely stupid to take the baby from a safe place when he didn't need to.<br /><br />And why was the road miraculously clear whenever anyone wanted to drive somewhere? Didn't any uprooted trees fall on the roads and block them?<br /><br />I can't imagine the cops at the roadblock not immediately following after any young person who would crash it, especially when they said it was dangerous to go there.<br /><br />That being said, it was nice to have a movie children could safely watch, for a change.",negative
"This has to be the worst movie i've seen this year.. and i watch a lot of cable. The plot is just ridiculous, the scenes are just thrown at you with no action, no start or ending of any scene.. it's just random idiots with make-up that scream in some plane.. The ""special effects"" ( Spielberg would laugh his ass off ) are horrible, the yellow eye contact lenses are cute though.. I have to admin that i couldn't bear to watch it to the end. The scene where the great scientist Bennett was holding for dear life by the engine body was too much for me.. I'm sorry for my bad English.. i am from Romania ( and this is my first post ). I had to sign up just to make a comment on this movie because i just can't believe that this is a movie released in 2007.",negative
My husband and I just got done watching this movie. I was not expecting it to be this good! I was really astonished at how great the story line was. I'm usually very good at figuring out twisty plots...but this one had me. I loved it! I'm going to have to watch it again before I take it back. I might even have to buy it. :),positive
"As the film opens, two thugs kill another thug. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, he was also suffering from the Pneumonic plague--a very nasty and more virulent version of the Bubonic plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the Pneumonic plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the Bubonic plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. Richard Widmark and Paul Douglas are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing Jack Palance (still going by his original moniker, 'Walter Jack Palance') as well as the relatively unknown (at the time) Zero Mostel. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing.",positive
"Fascinating downer about a would-be male hustler in New York City forced to live in a condemned building with a crippled con-man. Extremely bleak examination of modern-day moral and social decline, extremely well-directed by John Schlesinger (who never topped his work here) and superbly acted by Jon Voight and Dustin Hoffman. Packs quite a punch overall, yet the ""fantasy"" scenes--some of which are played for a chuckle--are mildly intrusive, as is the ""mod"" drug party. The relationship that develops between the two men is sentimental, yet the filmmakers are careful not to get mushy, and this gives the picture an edge it might not have had with a lesser director than Schlesinger. Originally X-rated in 1969, and the winner of the Best Picture Oscar; screenwriter Waldo Salt (who adapted James Leo Herilhy's book) and Schlesinger also won statues. ***1/2 from ****",positive
"Susan Slept Here turned out to be Dick Powell's swan song as a performer on the big screen. Of course he directed some more films and appeared frequently on television until he died. It's a pity he didn't go out with his performance in The Bad and the Beautiful.<br /><br />Frank Tashlin has done so many better films, I'm still not sure whatever possessed him to do this one. The premise is absolutely laughable. <br /><br />Dick Powell is a screenwriter who's looking to do more serious stuff than the fluff he's been writing. He had an idea for a film on juvenile delinquency so two friendly cops in Herb Vigran and Horace McMahon deposit 17 year old Debbie Reynolds on his doorstep. She's not a really bad kid and they don't want to put her in the system. So they give her to Dick Powell at Christmas time.<br /><br />I mean is there anyone out there who doesn't see a problem? The term jailbait comes immediately to mind. Additionally Powell has a girlfriend, the young and sexy Anne Francis. Why Debbie Reynolds is any competition here is beyond me.<br /><br />Susan Slept Here got one Oscar nomination. The song Hold My Hand, sung by Don Cornell in the background, was nominated for best song, but lost to Secret Love. <br /><br />Powell and Reynolds do have some funny moments together and Alvy Moore as Powell's factotum and Les Tremayne as his lawyer also get a few laughs. <br /><br />But it's not enough.",negative
"I've gotta say, I usually like horror movies that i've never seen... however, this one was just to pathetic for my gory taste. I'm used to the gory, gut wrenching types... but this particular movie was lame. The acting was horrible (yet the corny (no pun intended) one-liners were cute). And the sequel to it, Scarecrow Slayer was even worse! Yes, probably, when it first came out, there was a huge rave about it and people liked it. But when movies like The Ring and The Exorcist of Emily Rose come out, movies like these make movies like Scarecrow seem childish. If you want a movie to just pass the time, pick this one! The special effects are cheesy as heck. But seeing that it was a low budget movie, I can kind of see where that would come in. This will kind of remind you of the movie ""Children Of The Corn."" Independent movies rock.... most of the time. So if you want to see a scarecrow killing people with corncobs, or in the sequel, 2 scarecrows going at it, then these movies would be for you.",negative
"Anyone that is looking for an episode of ""Law and Order"" or ""CSI"" would have to look elsewhere as the most basic elements of police or forensics work were totally ignored in this case.<br /><br />A murder took place, and all the police did was to grab a 15-year-old boy off the street and take him to the only witness - a 65-year-old man - and say is this the guy who did it? Sure, the old man thought that the kid in the back of the police car had to be guilty. never mind that he looked nothing like the real killer and was dressed completely differently. He must have shrunk, reversed his age by 5-10 years and changed clothes.<br /><br />The police made absolutely no effort - and they admitted it! The did no forensics on any of the evidence, they questioned no other witnesses, and they beat a confession out of a 15-year-old.<br /><br />The saddest thing about this compelling look at the criminal justice system is that it occurred right down the road in Jacksonville, Florida. Let everyone now start talking about ""Southern justice.""",positive
"i love this movie. is it on air anymore? what can i do to get it on air again because i miss this movie when does this movie air again? i love this movie so much. does anyone know how long it has been since it was last on Disney?it has been a very very long time and i am so sick of waiting!i want to see Susie Q again. i swear, they take all the good movies off air and play new stupid gay ones that are fake and retarded. i miss this movie, wish upon a star, Kazaam with Shaquille O'neil, and a bunch more. where did all the good movies go? i want them back.i miss all the good movies and they don't have them anymore. if anybody finds out if Susie Q or any good old Disney movie comes out will you please let me know, my email is girlygirl148@aol.com girlygirl(no blank space)148. thank you and i hope you want this movie back too. have a great day",positive
